PRESSURES VOLUMES, C_A_VALUES
0 178.343759200000 1.09585788971098
1 28.9956437679637 1.00584351312390
2 22.7132762785333 1.00513918985384
3 19.6695986933845 1.00488744111463
4 17.7554511777870 1.00475903406505
5 16.3979829378939 1.00468197082925
6 15.3653938085892 1.00463113079415
7 14.5428390265476 1.00459544227847
8 13.8657899429513 1.00456926749024
9 13.2947091558957 1.00454943639944
10 12.8037823874340 1.00453403224245
11 12.3753137139248 1.00452182969520
12 11.9966949488595 1.00451201014010
13 11.6586566057863 1.00450400673082
14 11.3542042205127 1.00449741513127
15 11.0779430014501 1.00449193961912
16 10.8256332785230 1.00448735923759
17 10.5938887527586 1.00448350581522
18 10.3799661862011 1.00448024927537
19 10.1816154078459 1.00447748756840
20 9.99697014991182 1.00447513961838
21 9.82446716231607 1.00447314028401
22 9.66278531332202 1.00447143669557
23 9.51079907436218 1.00446998555001
24 9.36754252758022 1.00446875108518
25 9.23218118574317 1.00446770354318
26 9.10398969065586 1.00446681799098
27 8.98233398946313 1.00446607340550
28 8.86665696048127 1.00446545195693
29 8.75646672398457 1.00446493844212
30 8.65132706288625 1.00446451983292
31 8.55084951614510 1.00446418491332
32 8.45468680924822 1.00446392398579
33 8.36252736167912 1.00446372863208
34 8.27409066809230 1.00446359151708
35 8.18912339303751 1.00446350622705
36 8.10739605209919 1.00446346713552
37 8.02870017781595 1.00446346929148
38 7.95284588858881 1.00446350832570
39 7.87965979434361 1.00446358037186
40 7.80898318499351 1.00446368200003
41 7.74067045750521 1.00446381015997
42 7.67458774517392 1.00446396213307
43 7.61061171898558 1.00446413549103
44 7.54862853601885 1.00446432806054
45 7.48853291396339 1.00446453789278
46 7.43022731420127 1.00446476323712
47 7.37362121866498 1.00446500251827
48 7.31863048796695 1.00446525431648
49 7.26517679018591 1.00446551735022
50 7.21318709126721 1.00446579046111
51 7.16259319930703 1.00446607260069
52 7.11333135609130 1.00446636281876
53 7.06534187018548 1.00446666025316
54 7.01856878665380 1.00446696412075
55 6.97295958914828 1.00446727370943
56 6.92846493067114 1.00446758837106
57 6.88503838979373 1.00446790751515
58 6.84263624952589 1.00446823060333
59 6.80121729638102 1.00446855714433
60 6.76074263748533 1.00446888668952
61 6.72117553384016 1.00446921882899
62 6.68248124807219 1.00446955318794
63 6.64462690520173 1.00446988942352
64 6.60758136512911 1.00447022722191
65 6.57131510568712 1.00447056629579
66 6.53580011523652 1.00447090638199
67 6.50100979389445 1.00447124723937
68 6.46691886258477 1.00447158864696
69 6.43350327918585 1.00447193040221
70 6.40074016112828 1.00447227231945
71 6.36860771386211 1.00447261422845
72 6.33708516467278 1.00447295597320
73 6.30615270137799 1.00447329741068
74 6.27579141548392 1.00447363840983
75 6.24598324942137 1.00447397885057
76 6.21671094751869 1.00447431862295
77 6.18795801040184 1.00447465762629
78 6.15970865254082 1.00447499576851
79 6.13194776268827 1.00447533296541
80 6.10466086697934 1.00447566914007
81 6.07783409448305 1.00447600422228
82 6.05145414501435 1.00447633814803
83 6.02550825903286 1.00447667085905
84 5.99998418946980 1.00447700230234
85 5.97487017533826 1.00447733242979
86 5.95015491699443 1.00447766119780
87 5.92582755292866 1.00447798856698
88 5.90187763797540 1.00447831450177
89 5.87829512284025 1.00447863897020
90 5.85507033485072 1.00447896194362
91 5.83219395984483 1.00447928339643
92 5.80965702511870 1.00447960330589
93 5.78745088336038 1.00447992165188
94 5.76556719750301 1.00448023841671
95 5.74399792643554 1.00448055358496
96 5.72273531151400 1.00448086714329
97 5.70177186382064 1.00448117908031
98 5.68110035212231 1.00448148938642
99 5.66071379148292 1.00448179805367
100 5.64060543248836 1.00448210507568
101 5.62076875104500 1.00448241044747
102 5.60119743871619 1.00448271416541
103 5.58188539356309 1.00448301622706
104 5.56282671145917 1.00448331663115
105 5.54401567784942 1.00448361537744
106 5.52544675992766 1.00448391246665
107 5.50711459920685 1.00448420790041
108 5.48901400445934 1.00448450168120
109 5.47113994500532 1.00448479381223
110 5.45348754432926 1.00448508429743
111 5.43605207400566 1.00448537314139
112 5.41882894791620 1.00448566034930
113 5.40181371674217 1.00448594592690
114 5.38500206271649 1.00448622988044
115 5.36838979462114 1.00448651221664
116 5.35197284301636 1.00448679294264
117 5.33574725568907 1.00448707206599
118 5.31970919330863 1.00448734959459
119 5.30385492527884 1.00448762553667
120 5.28818082577568 1.00448789990077
121 5.27268336996117 1.00448817269569
122 5.25735913036396 1.00448844393048
123 5.24220477341809 1.00448871361442
124 5.22721705615178 1.00448898175699
125 5.21239282301862 1.00448924836785
126 5.19772900286387 1.00448951345682
127 5.18322260601924 1.00448977703387
128 5.16887072151953 1.00449003910909
129 5.15467051443529 1.00449029969268
130 5.14061922331580 1.00449055879497
131 5.12671415773681 1.00449081642632
132 5.11295269594828 1.00449107259721
133 5.09933228261704 1.00449132731815
134 5.08585042666000 1.00449158059971
135 5.07250469916367 1.00449183245249
136 5.05929273138585 1.00449208288715
137 5.04621221283564 1.00449233191432
138 5.03326088942831 1.00449257954468
139 5.02043656171143 1.00449282578891
140 5.00773708315914 1.00449307065767
141 4.99516035853133 1.00449331416162
142 4.98270434229501 1.00449355631142
143 4.97036703710496 1.00449379711768
144 4.95814649234099 1.00449403659101
145 4.94604080269957 1.00449427474196
146 4.93404810683711 1.00449451158108
147 4.92216658606295 1.00449474711885
148 4.91039446307976 1.00449498136571
149 4.89873000076931 1.00449521433208
150 4.88717150102184 1.0049544602829
